27,0.014466,371,500,74.2
25,0.017585,367,500,73.4
31,0.016419,366,500,73.2
29,0.016462,364,500,72.8
26,0.015432,363,500,72.6
30,0.016222,363,500,72.6
32,0.01638,363,500,72.6
35,0.014588,363,500,72.6
21,0.016092,362,500,72.4
19,0.015007,361,500,72.2
22,0.01529,361,500,72.2
23,0.015291,360,500,72
33,0.017294,360,500,72
34,0.013951,360,500,72
24,0.014276,359,500,71.8
28,0.013829,359,500,71.8
13,0.01445,358,500,71.6
15,0.01474,358,500,71.6
61,0.015873,358,500,71.6
18,0.014501,356,500,71.2
36,0.014368,356,500,71.2
58,0.014441,356,500,71.2
60,0.0175,356,500,71.2
10,0.014103,355,500,71
11,0.015294,355,500,71
17,0.014666,355,500,71
37,0.016617,355,500,71
55,0.014137,355,500,71
57,0.01503,355,500,71
62,0.014933,355,500,71
701,0.014957,355,500,71
702,0.014837,355,500,71
703,0.015,355,500,71
704,0.015054,355,500,71
20,0.015243,354,500,70.8
38,0.015148,354,500,70.8
63,0.014888,354,500,70.8
66,0.014711,354,500,70.8
83,0.015795,354,500,70.8
695,0.01439,354,500,70.8
697,0.015129,354,500,70.8
699,0.014107,354,500,70.8
51,0.014517,353,500,70.6
54,0.015901,353,500,70.6
65,0.014461,353,500,70.6
67,0.014687,353,500,70.6
696,0.015075,353,500,70.6
698,0.014334,353,500,70.6
700,0.014606,353,500,70.6
705,0.017409,353,500,70.6
706,0.014963,353,500,70.6
707,0.014654,353,500,70.6
708,0.014854,353,500,70.6
710,0.014555,353,500,70.6
8,0.014579,352,500,70.4
9,0.014804,352,500,70.4
59,0.014475,352,500,70.4
64,0.015522,352,500,70.4
709,0.014438,352,500,70.4
5,0.015293,351,500,70.2
49,0.014175,351,500,70.2
52,0.014688,351,500,70.2
53,0.015037,351,500,70.2
56,0.014752,351,500,70.2
68,0.015882,351,500,70.2
69,0.015339,351,500,70.2
80,0.01453,351,500,70.2
82,0.014545,351,500,70.2
677,0.013733,351,500,70.2
678,0.014942,351,500,70.2
679,0.014505,351,500,70.2
680,0.013949,351,500,70.2
681,0.013979,351,500,70.2
682,0.013936,351,500,70.2
683,0.014062,351,500,70.2
684,0.013669,351,500,70.2
685,0.013994,351,500,70.2
686,0.014032,351,500,70.2
687,0.014205,351,500,70.2
688,0.014375,351,500,70.2
689,0.014043,351,500,70.2
690,0.014399,351,500,70.2
691,0.024746,351,500,70.2
692,0.015045,351,500,70.2
693,0.014709,351,500,70.2
694,0.016333,351,500,70.2
712,0.015663,351,500,70.2
14,0.014964,350,500,70
50,0.015399,350,500,70
86,0.014963,350,500,70
87,0.016332,350,500,70
711,0.014576,350,500,70
713,0.01485,350,500,70
714,0.014794,350,500,70
715,0.014758,350,500,70
716,0.01479,350,500,70
717,0.014393,350,500,70
718,0.014955,350,500,70
719,0.015277,350,500,70
720,0.015513,350,500,70
3,0.015583,349,500,69.8
16,0.013943,349,500,69.8
74,0.014681,349,500,69.8
78,0.015428,349,500,69.8
84,0.014926,349,500,69.8
88,0.015075,349,500,69.8
96,0.014665,349,500,69.8
673,0.013762,349,500,69.8
721,0.015206,349,500,69.8
722,0.015188,349,500,69.8
723,0.014693,349,500,69.8
724,0.0153,349,500,69.8
725,0.014839,349,500,69.8
726,0.015209,349,500,69.8
727,0.014874,349,500,69.8
728,0.01649,349,500,69.8
729,0.016051,349,500,69.8
730,0.014545,349,500,69.8
731,0.014364,349,500,69.8
732,0.015315,349,500,69.8
733,0.015571,349,500,69.8
734,0.014572,349,500,69.8
736,0.014532,349,500,69.8
738,0.014638,349,500,69.8
739,0.0149,349,500,69.8
740,0.016917,349,500,69.8
741,0.01436,349,500,69.8
742,0.014703,349,500,69.8
70,0.014976,348,500,69.6
81,0.014724,348,500,69.6
85,0.014837,348,500,69.6
89,0.014729,348,500,69.6
91,0.014413,348,500,69.6
94,0.014598,348,500,69.6
97,0.014908,348,500,69.6
625,0.013947,348,500,69.6
626,0.013432,348,500,69.6
627,0.013792,348,500,69.6
628,0.013694,348,500,69.6
671,0.014002,348,500,69.6
672,0.013709,348,500,69.6
674,0.01512,348,500,69.6
675,0.013889,348,500,69.6
676,0.014252,348,500,69.6
735,0.014811,348,500,69.6
737,0.014388,348,500,69.6
743,0.014786,348,500,69.6
744,0.014515,348,500,69.6
747,0.01423,348,500,69.6
748,0.014591,348,500,69.6
6,0.014368,347,500,69.4
48,0.015091,347,500,69.4
72,0.014524,347,500,69.4
